Date(UTC),UnixTimeStamp,Value
7/4/2017,1499126400,269.05
7/5/2017,1499212800,266.00
7/6/2017,1499299200,265.88
7/7/2017,1499385600,240.94
7/8/2017,1499472000,245.67
7/9/2017,1499558400,237.72
7/10/2017,1499644800,205.76
7/11/2017,1499731200,190.55
7/12/2017,1499817600,224.15
7/13/2017,1499904000,205.41
7/14/2017,1499990400,197.14
7/15/2017,1500076800,169.10
7/16/2017,1500163200,155.42
7/17/2017,1500249600,189.97
7/18/2017,1500336000,227.09
7/19/2017,1500422400,194.41
7/20/2017,1500508800,226.33
7/21/2017,1500595200,216.33
7/22/2017,1500681600,230.47
7/23/2017,1500768000,228.32
7/24/2017,1500854400,225.48
7/25/2017,1500940800,203.59
7/26/2017,1501027200,202.88
7/27/2017,1501113600,202.93
7/28/2017,1501200000,191.21
7/29/2017,1501286400,206.14
7/30/2017,1501372800,196.78
7/31/2017,1501459200,201.33
8/1/2017,1501545600,225.90
8/2/2017,1501632000,218.12
8/3/2017,1501718400,224.39
8/4/2017,1501804800,220.60
8/5/2017,1501891200,253.09
8/6/2017,1501977600,264.56
8/7/2017,1502064000,269.94
8/8/2017,1502150400,296.51
8/9/2017,1502236800,295.28
8/10/2017,1502323200,298.28
8/11/2017,1502409600,309.32
8/12/2017,1502496000,308.02
8/13/2017,1502582400,296.62
8/14/2017,1502668800,299.16
8/15/2017,1502755200,286.52
8/16/2017,1502841600,301.38
8/17/2017,1502928000,300.30
8/18/2017,1503014400,292.62
8/19/2017,1503100800,293.02
8/20/2017,1503187200,298.20
8/21/2017,1503273600,321.85
8/22/2017,1503360000,313.37
8/23/2017,1503446400,317.40
8/24/2017,1503532800,325.28
8/25/2017,1503619200,330.06
8/26/2017,1503705600,332.86
8/27/2017,1503792000,347.88
8/28/2017,1503878400,347.66
8/29/2017,1503964800,372.35
8/30/2017,1504051200,383.86
8/31/2017,1504137600,388.33
9/1/2017,1504224000,391.42
9/2/2017,1504310400,351.03
9/3/2017,1504396800,352.45
9/4/2017,1504483200,303.70
9/5/2017,1504569600,317.94
9/6/2017,1504656000,338.92
9/7/2017,1504742400,335.37
9/8/2017,1504828800,306.72
9/9/2017,1504915200,303.79
9/10/2017,1505001600,299.21
9/11/2017,1505088000,297.95
9/12/2017,1505174400,294.10
9/13/2017,1505260800,275.84
9/14/2017,1505347200,223.14
9/15/2017,1505433600,259.57
9/16/2017,1505520000,254.49
9/17/2017,1505606400,258.40
9/18/2017,1505692800,297.53
9/19/2017,1505779200,283.00
9/20/2017,1505865600,283.56
9/21/2017,1505952000,257.77
9/22/2017,1506038400,262.94
9/23/2017,1506124800,286.14
9/24/2017,1506211200,282.60
9/25/2017,1506297600,294.89
9/26/2017,1506384000,288.64
9/27/2017,1506470400,309.97
9/28/2017,1506556800,302.77
9/29/2017,1506643200,292.58
9/30/2017,1506729600,302.77
10/1/2017,1506816000,303.95
10/2/2017,1506902400,296.81
10/3/2017,1506988800,291.81
10/4/2017,1507075200,291.68
10/5/2017,1507161600,294.99
10/6/2017,1507248000,308.33
10/7/2017,1507334400,311.26
10/8/2017,1507420800,309.49
10/9/2017,1507507200,296.95
10/10/2017,1507593600,298.46
10/11/2017,1507680000,302.86
10/12/2017,1507766400,302.89
10/13/2017,1507852800,336.83
10/14/2017,1507939200,338.81
10/15/2017,1508025600,336.58
10/16/2017,1508112000,334.23
10/17/2017,1508198400,316.14
10/18/2017,1508284800,313.54
10/19/2017,1508371200,307.41
10/20/2017,1508457600,303.08
10/21/2017,1508544000,299.55
10/22/2017,1508630400,294.03
10/23/2017,1508716800,285.27
10/24/2017,1508803200,296.50
10/25/2017,1508889600,296.35
10/26/2017,1508976000,295.54
10/27/2017,1509062400,296.36
10/28/2017,1509148800,293.35
10/29/2017,1509235200,304.04
10/30/2017,1509321600,306.80
10/31/2017,1509408000,303.64
11/1/2017,1509494400,289.42
11/2/2017,1509580800,284.92
11/3/2017,1509667200,304.51
11/4/2017,1509753600,300.04
11/5/2017,1509840000,296.23
11/6/2017,1509926400,296.82
11/7/2017,1510012800,291.84
11/8/2017,1510099200,307.35
11/9/2017,1510185600,319.66
11/10/2017,1510272000,296.86
11/11/2017,1510358400,314.23
11/12/2017,1510444800,306.02
11/13/2017,1510531200,314.60
11/14/2017,1510617600,334.72
11/15/2017,1510704000,331.20
11/16/2017,1510790400,330.32
11/17/2017,1510876800,331.72
11/18/2017,1510963200,346.65
11/19/2017,1511049600,354.60
11/20/2017,1511136000,367.71
11/21/2017,1511222400,360.52
11/22/2017,1511308800,380.84
11/23/2017,1511395200,406.57
11/24/2017,1511481600,470.43
11/25/2017,1511568000,464.61
11/26/2017,1511654400,470.54
11/27/2017,1511740800,475.24
11/28/2017,1511827200,466.27
11/29/2017,1511913600,427.42
11/30/2017,1512000000,434.85
12/1/2017,1512086400,461.58
12/2/2017,1512172800,457.96
12/3/2017,1512259200,462.81
12/4/2017,1512345600,466.93
12/5/2017,1512432000,453.96
12/6/2017,1512518400,422.48
12/7/2017,1512604800,421.15
12/11/2017,1512950400,513.29
12/12/2017,1513036800,656.52
12/13/2017,1513123200,699.09
12/14/2017,1513209600,693.58
12/15/2017,1513296000,684.27
12/16/2017,1513382400,692.83
12/17/2017,1513468800,717.71
12/18/2017,1513555200,785.99
12/19/2017,1513641600,812.50
12/20/2017,1513728000,799.17
12/21/2017,1513814400,789.39
12/22/2017,1513900800,657.83
12/23/2017,1513987200,700.44
12/24/2017,1514073600,675.91
12/25/2017,1514160000,723.14
12/26/2017,1514246400,753.40
12/27/2017,1514332800,739.94
12/28/2017,1514419200,716.69
12/29/2017,1514505600,739.60
12/30/2017,1514592000,692.99
12/31/2017,1514678400,741.13
1/1/2018,1514764800,756.20
1/2/2018,1514851200,861.97
1/3/2018,1514937600,941.10
1/4/2018,1515024000,944.83
1/5/2018,1515110400,967.13
1/6/2018,1515196800,1006.41
1/7/2018,1515283200,1117.75
1/8/2018,1515369600,1136.11